zipcode,centroid_lat,centroid_lon,regional spatial type,population,capacity,rc_centroid_lat,rc_centroid_lon
0,47.39707039042514,9.525057248782112,rural,1850,0,47.39628520480294,9.517988667510291
1,47.52990454554006,10.409103236399725,urban,9188,381806,47.52763442322232,10.411369881889
2,47.47325412029371,10.250360717008714,rural,19244,0,47.4621720369618,10.264925313170847
3,47.66692049758002,9.207400369981343,rural,3489,0,47.67383014014275,9.21647848731963
4,48.16697640693886,10.582130796519875,rural,8418,0,48.17965471818886,10.577756150700717
5,48.90276462691292,10.346072254905447,urban,3909,0,48.90660442126309,10.343213743053887
6,48.14334102967668,9.36040184785502,rural,14593,0,48.12852425765037,9.361060262672556
7,48.94566371928156,9.702148431749002,rural,9778,0,48.962234885452325,9.703025388463722
8,48.06689710381325,10.495820229205362,urban,14667,0,48.0987745710722,10.507751093096958
9,47.548020891554,11.027474022504384,urban,19380,0,47.54730005106399,11.024141239380173
10,48.57372082418628,10.481941235617638,urban,8243,0,48.56193066239385,10.491863468873888
11,47.45075333926546,9.152429039094168,rural,5416,192893,47.43799612415543,9.147279066300229
12,47.80079077836195,11.278477757375445,urban,14313,0,47.82043112553591,11.27246875564598
13,48.40115345117556,9.410640862260124,urban,16829,0,48.40631285908753,9.413300985943296
14,47.45094467154275,9.757441198624068,rural,15441,0,47.44479083185765,9.759908653670635
15,48.30370017880438,10.720356227817836,urban,15185,353529,48.31667278309476,10.719091930505526
16,48.42134517445864,11.08503602177198,urban,9445,0,48.415398102101584,11.093351297372154
17,48.661473249955975,10.965071497404193,rural,13465,0,48.66102086973207,10.960340123975207
18,48.99630956271693,10.874334779054754,rural,19901,0,48.99768323890428,10.870859086581378
19,48.44481387449161,10.69507810361959,urban,15717,0,48.45015752142405,10.702862618178942
20,48.404485801933895,10.899969140397188,urban,6567,310235,48.41064254181782,10.88917419799882
21,48.801179990135374,10.514698848621382,urban,4506,0,48.79100917341552,10.496207562436211
22,48.66596264482099,10.225957165590204,urban,16991,322952,48.65974430350671,10.22265065163269
23,47.59579694559899,9.315907887703167,urban,16214,0,47.59097989800525,9.314632280005496
24,47.40295784914535,9.5130842427114,rural,16747,0,47.41109400240001,9.501098973632688
25,47.74488510364488,10.428756152999185,urban,12023,404457,47.74643944829781,10.425980463390262
26,47.36837629901371,9.781983310856706,urban,12099,0,47.36842542637066,9.79534788421816
27,48.55588789815536,9.948866880910948,urban,6260,0,48.5574608404641,9.931478475566188
28,47.55463289603102,11.2312909650502,rural,17895,0,47.558347505174986,11.228414581455356
29,47.776647916183926,11.326902788304784,rural,9885,0,47.77348785680731,11.32346585340663
30,47.52948881230405,9.069586269863816,rural,5595,0,47.5195814683333,9.082678400257508
31,47.98222534286426,10.925110525729869,rural,1304,0,47.967295854726615,10.94104942505682
32,47.660425043132,9.242140680242718,urban,3639,0,47.66249000858161,9.23799299105359
33,47.300531055903086,10.967117882444104,urban,8338,0,47.29991070904402,10.962641128358676
34,48.812338213059725,10.923057168741938,rural,162,0,48.81454172556779,10.923719423417689
35,48.925495989831326,9.576405661947131,rural,4760,0,48.92614872266714,9.574953363860198
36,47.53497345634963,9.231948458073068,rural,13370,247597,47.54151684362733,9.226581442085148
37,48.27276199013031,10.793361118158469,rural,15726,0,48.269744504827806,10.78945335181942
38,48.15497473714476,10.463287285203258,urban,11945,0,48.1467045698219,10.464582812287135
39,47.810098350231016,10.14223406768029,urban,15310,378048,47.81338450703939,10.144210170169517
40,48.16375298319422,9.88765265462082,urban,3976,371057,48.15299686109149,9.891914928027914
41,47.59757259411427,10.689802589008194,rural,11747,0,47.5951242988053,10.682172444741417
42,48.91029112436594,11.17705255352719,rural,3116,0,48.90279115053311,11.171035403891633
43,48.70962156008764,9.108937328702485,rural,11099,0,48.70101394019942,9.0903460806252
44,48.55148191769436,9.446043905420948,rural,15618,302596,48.548049629046574,9.445515960798712
45,48.303176294358806,10.57163269334122,urban,19698,0,48.28836400835315,10.572523261610767
46,48.4785676265877,10.290156142146758,urban,3517,0,48.48376073302847,10.292678077734756
47,48.857400302782025,11.166002238586128,rural,19118,0,48.84897567036525,11.175135871640382
48,47.675450569609,10.42272206433851,rural,12088,0,47.68677186398689,10.4072075746864
49,48.83421359868058,9.154145318698443,urban,12922,0,48.82796474801867,9.143126655882432
50,48.515916262249696,10.618612492796558,rural,559,0,48.51253213701583,10.62222944233688
51,48.97232959195303,9.749034625144686,urban,13234,0,48.97820357208283,9.737475903695382
52,48.23105026405648,10.795834467507673,rural,1132,0,48.21725043545237,10.783408283629516
53,48.41480616414261,9.596554414747573,rural,13804,0,48.41859964391022,9.602957515855271
54,47.819266535626014,10.0423592008038,rural,11268,364801,47.83547591017351,10.041282422269818
55,47.86228719932001,10.179129347718275,rural,12829,0,47.85851234148842,10.175836648787769
56,47.74457390699104,11.47386911746085,urban,12707,0,47.73963910428567,11.474688470299435
57,48.46810809212262,9.050616269608918,rural,5067,203067,48.48503748854562,9.045784944808773
58,48.77868406288616,10.572022589177813,rural,9628,0,48.78724976354621,10.57315494215868
59,47.36149944342891,10.287937312987152,urban,10829,0,47.380161380403386,10.26533747301654
60,48.5594269365264,10.148996896439971,rural,13956,0,48.57897775989131,10.139493132941244
61,48.82870934826216,11.472078361521516,rural,9219,0,48.82978338081768,11.48059580250058
62,48.46127326578948,10.153562664849332,rural,18777,0,48.45654256371604,10.14910422333019
63,48.66642968311841,10.964270485291516,urban,7203,0,48.65462642752512,10.958913172273633
64,48.29069034836112,9.49163813968581,urban,2328,324438,48.2837390741523,9.495557267484182
65,48.30346413908764,11.418415294369671,rural,17899,240936,48.288493081744186,11.42316580687505
66,48.56203744556812,10.032023473909817,rural,5660,321395,48.56328821355874,10.036372773432488
67,47.305625522039136,10.279921837784796,urban,19431,0,47.32192628624552,10.277957455049586
68,47.47511340979842,11.210597434698668,urban,15477,0,47.480478226978654,11.19954384476788
69,47.97794822659648,10.456474818433463,rural,4856,0,47.97347756600402,10.45573507043319
70,48.97069435837084,11.20016486224497,urban,13718,0,48.97460431852185,11.190744440744576
71,47.30522144044936,9.628565075062903,urban,18386,0,47.29452060283729,9.63588020438236
72,47.33812468162414,10.32212628349286,urban,1909,268544,47.33872539261872,10.31970474347414
73,47.55396533791488,10.288701423255876,urban,5626,0,47.55459590693701,10.295554987566634
74,48.15183461779106,11.408841022308051,urban,12288,233986,48.14873328340957,11.432000221634992
75,47.8742016851517,11.37081973660466,urban,13988,265418,47.87185013735591,11.380194146225705
76,47.41147153344515,11.247857136148118,rural,13085,209943,47.40732753144784,11.239828758476982
77,48.37560212698784,10.724828338425471,rural,17743,0,48.37660910477129,10.741343270859373
78,48.91531108701389,10.558443033340597,urban,12495,0,48.91106116478938,10.575877196424557
79,48.960789763339086,10.774521617919698,urban,14607,0,48.95159157055857,10.764008276549951
80,48.79401194775401,11.355683470182107,urban,15926,248023,48.780576245223386,11.347792035876536
81,48.08106686628727,9.674593672831254,rural,10431,0,48.07650956884444,9.687910370710144
82,47.58532395109089,9.650388388474267,urban,1351,319364,47.58975918632741,9.655067394034177
83,48.99821357426302,9.34919029849503,urban,16821,182591,48.983223024225126,9.333790244164003
