zipcode,population,centroid_lat,centroid_lon,regional spatial type,capacity,rc_centroid_lat,rc_centroid_lon,Postcode Sectors,Facility name,Tier,index
0,"10,092 ",50.73954026,-1.733754744,urban,0 ,,,BH23 4,,,
1,"7,349 ",50.74386741,-1.705925912,urban,0 ,,,BH23 5,,,
2,"4,971 ",50.75571029,-1.761973988,urban,0 ,,,BH23 7,,,
3,"4,561 ",50.77928023,-1.7399253,urban,0 ,,,BH23 8,,,
4,"10,507 ",50.84975842,-1.78242416,urban,0 ,,,BH24 1,,,
5,"5,187 ",50.8521089,-1.775153193,urban,"67,096 ",50.860711,-1.828803,BH24 3,Somerley,3,j1
6,"1,290 ",50.83197023,-1.706836841,urban,0 ,,,BH24 4,,,
7,"12,364 ",50.76061861,-1.654104962,urban,0 ,,,BH25 5,,,
8,"6,644 ",50.75171068,-1.65762938,urban,0 ,,,BH25 6,,,
9,"6,629 ",50.74173155,-1.66682865,urban,0 ,,,BH25 7,,,
10,"6,976 ",51.18889755,-0.817886059,urban,0 ,,,GU10 4,,,
11,"4,454 ",51.22068087,-0.849701954,urban,0 ,,,GU10 5,,,
12,"7,721 ",51.2493189,-0.765352743,urban,0 ,,,GU11 1,,,
13,"3,791 ",51.26162728,-0.752068556,urban,0 ,,,GU11 2,,,
14,"13,325 ",51.24304816,-0.765573859,urban,0 ,,,GU11 3,,,
15,"2,330 ",51.25591278,-0.763876916,urban,0 ,,,GU11 4,,,
16,"14,971 ",51.24578309,-0.747547247,urban,"77,969 ",51.248115,-0.739722,GU12 4,Aldershot,3,j2
17,"7,917 ",51.28889432,-0.774403415,urban,0 ,,,GU14 0,,,
18,"10,193 ",51.27920291,-0.748594819,urban,0 ,,,GU14 6,,,
19,"7,317 ",51.28900901,-0.752755619,urban,"81,508 ",51.285378,-0.769089,GU14 7,Farnborough,2,j3
20,"15,950 ",51.30071232,-0.75956806,urban,0 ,,,GU14 8,,,
21,"15,847 ",51.30220132,-0.779582768,urban,0 ,,,GU14 9,,,
22,"7,262 ",51.33369302,-0.787599956,urban,0 ,,,GU17 0,,,
23,"4,686 ",51.322959,-0.785367895,urban,0 ,,,GU17 9,,,
24,"7,763 ",51.11025436,-0.746179108,urban,0 ,,,GU26 6,,,
25,"10,555 ",51.07580772,-0.803910216,rural,0 ,,,GU30 7,,,
26,"8,041 ",51.00362048,-0.929261034,rural,0 ,,,GU31 4,,,
27,"3,616 ",50.99102174,-0.884531035,rural,0 ,,,GU31 5,,,
28,"3,238 ",51.01078227,-1.013272065,rural,0 ,,,GU32 1,,,
29,"3,728 ",51.01311895,-0.935211857,rural,0 ,,,GU32 2,,,
30,"5,301 ",51.00414104,-0.944378969,rural,"63,215 ",51.003392,-0.947498,GU32 3,Petersfield,3,j4
31,"1,936 ",51.06314889,-0.904693994,rural,0 ,,,GU33 6,,,
32,"6,476 ",51.03965694,-0.887038634,rural,0 ,,,GU33 7,,,
33,"6,563 ",51.14626153,-0.980303479,rural,0 ,,,GU34 1,,,
34,"11,125 ",51.15337908,-0.971572529,rural,"73,278 ",51.148338,-0.962561,GU34 2,Alton,2,j5
35,"2,703 ",51.09983408,-0.972966051,rural,0 ,,,GU34 3,,,
36,"4,631 ",51.16473256,-0.949704857,rural,0 ,,,GU34 4,,,
37,"8,536 ",51.12947652,-1.040321102,rural,0 ,,,GU34 5,,,
38,"12,102 ",51.11681922,-0.856360969,rural,"56,516 ",51.120128,-0.86756,GU35 0,Bordon,3,j6
39,"5,273 ",51.11941462,-0.819085514,rural,0 ,,,GU35 8,,,
40,"6,758 ",51.11355676,-0.873149616,rural,0 ,,,GU35 9,,,
41,"10,922 ",51.33638555,-0.824232495,urban,0 ,,,GU46 6,,,
