Site,HCC utilization,Model utilization,Difference,Open
Andover,66.63%,53.46%,-13.17%,Yes
Basingstoke,40.74%,48.83%,+8.09%,Yes
Eastleigh,89.49%,71.61%,-17.88%,Yes
Gosport,52.11%,61.69%,+9.58%,Yes
Segensworth,64.22%,52.59%,-11.63%,Yes
Waterlooville,74.94%,61.42%,-13.52%,Yes
Winchester,54.23%,47.49%,-6.74%,Yes
Alton,69.97%,62.47%,-7.50%,Yes
Efford,71.02%,56.84%,-14.18%,Yes
Farnborough,69.64%,83.04%,+13.40%,Yes
Havant,69.89%,59.22%,-10.67%,Yes
Netley,70.17%,57.41%,-12.76%,Yes
Aldershot,74.66%,89.40%,+14.74%,Yes
Bordon,73.47%,67.87%,-5.60%,Yes
Casbrook,61.00%,49.33%,-11.67%,Yes
Hedge End,45.99%,37.55%,-8.44%,Yes
Marchwood,39.94%,32.64%,-7.30%,Yes
Petersfield,71.75%,57.79%,-13.96%,Yes
Somerley,53.81%,43.41%,-10.40%,Yes
Alresford,47.53%,38.21%,-9.32%,Yes
Bishops Waltham,59.24%,48.18%,-11.06%,Yes
Fair Oak,79.73%,64.14%,-15.59%,Yes
Hartley Wintney,32.77%,38.58%,+5.81%,Yes
Hayling Island,47.11%,49.74%,+2.63%,Yes
Southampton,48.36%,38.87%,-9.49%,Yes
Portsmouth,53.65%,64.19%,+10.54%,Yes
