Site,HCC utilization,Model utilization,Difference,Open
Andover,54.88%,50.46%,-4.42%,Yes
Basingstoke,81.64%,80.48%,-1.16%,Yes
Eastleigh,75.87%,68.03%,-7.84%,Yes
Gosport,69.99%,61.44%,-8.55%,Yes
Segensworth,86.31%,77.71%,-8.60%,Yes
Waterlooville,85.97%,79.32%,-6.65%,Yes
Winchester,55.68%,51.66%,-4.02%,Yes
Alton,141.01%,99.99%,-41.02%,Yes
Efford,95.25%,83.02%,-12.23%,Yes
Farnborough,153.67%,99.99%,-53.68%,Yes
Havant,83.31%,75.17%,-8.14%,Yes
Netley,121.23%,99.99%,-21.24%,Yes
Aldershot,---,0.00%,---,No
Bordon,---,0.00%,---,No
Casbrook,---,0.00%,---,No
Hedge End,---,0.00%,---,No
Marchwood,---,0.00%,---,No
Petersfield,---,0.00%,---,No
Somerley,---,0.00%,---,No
Alresford,---,0.00%,---,No
Bishops Waltham,---,0.00%,---,No
Fair Oak,---,0.00%,---,No
Hartley Wintney,---,0.00%,---,No
Hayling Island,---,0.00%,---,No
Southampton,86.28%,80.12%,-6.16%,Yes
Portsmouth,69.98%,62.56%,-7.42%,Yes
