Site,HCC utilization,Model utilization,Difference,Open
Andover,54.88%,47.67%,-7.21%,Yes
Basingstoke,81.64%,74.16%,-7.48%,Yes
Eastleigh,75.87%,64.98%,-10.89%,Yes
Gosport,69.99%,60.65%,-9.34%,Yes
Segensworth,86.31%,77.71%,-8.60%,Yes
Waterlooville,85.97%,76.68%,-9.29%,Yes
Winchester,55.68%,49.98%,-5.70%,Yes
Alton,141.01%,131.89%,-9.12%,Yes
Efford,95.25%,79.09%,-16.16%,Yes
Farnborough,153.67%,149.09%,-4.58%,Yes
Havant,83.31%,73.44%,-9.87%,Yes
Netley,121.23%,113.67%,-7.56%,Yes
Aldershot,---,0.00%,---,No
Bordon,---,0.00%,---,No
Casbrook,---,0.00%,---,No
Hedge End,---,0.00%,---,No
Marchwood,---,0.00%,---,No
Petersfield,---,0.00%,---,No
Somerley,---,0.00%,---,No
Alresford,---,0.00%,---,No
Bishops Waltham,---,0.00%,---,No
Fair Oak,---,0.00%,---,No
Hartley Wintney,---,0.00%,---,No
Hayling Island,---,0.00%,---,No
Southampton,86.28%,78.71%,-7.57%,Yes
Portsmouth,69.98%,58.41%,-11.57%,Yes
